"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",경북,포항,대송면,28,27,25,31,31,31
"도시대기",경북,포항,3공단,-,-,29,40,37,43
"도시대기",경북,포항,송도동,30,31,29,36,33**,39
"도시대기",경북,포항,오천읍,26,28,26,34,35,38
"도시대기",경북,포항,청림동,35,33,34,48,46,46
"도시대기",경북,포항,연일읍,29,28,24,31,30,35
"도시대기",경북,포항,제철동,29,30,32,46,39,41
"도시대기",경북,포항,양덕동,-,-,-,-,26,34
"도시대기",경북,구미,공단동,32,23,22,32,36,40
"도시대기",경북,구미,원평동,28,25,27**,-,36,44
"도시대기",경북,구미,형곡동,27,24,24,29,35,41
"도시대기",경북,구미,4공단,22,23,23,30,32,38
"도시대기",경북,구미,진미동,32,31,33,41,43,48
"도시대기",경북,김천,대광동,27,24,23,31,35,43
"도시대기",경북,김천,평화남산동,24,20,32,41,43,52
"도시대기",경북,김천,율곡동,28,26,25,33,35,42
"도시대기",경북,경주,성건동,26,20,18,26,28,38*
"도시대기",경북,경주,보덕동,17,13,12,17,18,24
"도시대기",경북,경주,안강읍,19,14,14,25,23,27
"도시대기",경북,경주,외동읍,23,17,18,27,28,31
"도시대기",경북,안동,명륜동,26,23,20,26,31,35
"도시대기",경북,영주,가흥동,33,39,36,39,40,43
"도시대기",경북,영주,영주동,24,29,32,38,42,48
"도시대기",경북,경산,중방동,27,22,20,27,30,35
"도시대기",경북,경산,하양읍,29,25,24,27,29,34
"도시대기",경북,경산,진량읍,31,23,23,31,34,40
"도시대기",경북,상주,상주시,26,23,16,25,29,33
"도시대기",경북,칠곡,칠곡군,28,21,20,30,32,37
"도시대기",경북,울진,울진군,23,20,19,22,24,27
"도시대기",경북,봉화,석포면,18,15,13,18,21,24
"도시대기",경북,봉화,봉화군,19,16,14,20,23,24
"도시대기",경북,울릉,울릉읍,15,16,17,23,22,24
"도시대기",경북,고령,대가야읍,25,23,23,27,27,35
"도시대기",경북,성주,성주군,24,22,24,28,30,34
"도시대기",경북,예천,예천군,28,25,25,26,28,29
"도시대기",경북,청도,화양읍,23,18,17,21,24,27
"도시대기",경북,청송,청송군,23,19,18,20,25,28
"도시대기",경북,영양,영양군,19,15,16,24,26,28
